"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77","should not display create offre button if offerer is not validated","SideNavLinks","Thu Jan 16 17:00:20 UTC 2025","passed","Thu Jan 16 17:00:20 UTC 2025","","","",""
"","122","should return an error when the offer id is not valid","collectiveActionButton api call","Thu Jan 16 16:59:54 UTC 2025","passed","Thu Jan 16 16:59:54 UTC 2025","","","",""
"","30","should not display non permanent venues","screens:SignupJourney::Offerers","Thu Jan 16 16:59:20 UTC 2025","passed","Thu Jan 16 16:59:20 UTC 2025","","","",""
"","43","should show the offer cultural partner infos for a collective offer","AdageOffer","Thu Jan 16 17:02:16 UTC 2025","passed","Thu Jan 16 17:02:16 UTC 2025","","","",""
"","0","should return all fields as read only when offer is rejected","setFormReadOnlyFields","Thu Jan 16 16:59:49 UTC 2025","passed","Thu Jan 16 16:59:49 UTC 2025","","","",""
"","121","should render favorites title","OffersFavorites","Thu Jan 16 17:00:41 UTC 2025","passed","Thu Jan 16 17:00:41 UTC 2025","","","",""
"","1","should return default values with educationPriceDetail when educationalPriceDetail is defined","extractInitialVisibilityValues","Thu Jan 16 17:00:24 UTC 2025","passed","Thu Jan 16 17:00:24 UTC 2025","","","",""
"","249","should update currentPage when clicking on next page button","components | BookingsRecapTable","Thu Jan 16 16:58:56 UTC 2025","passed","Thu Jan 16 16:58:56 UTC 2025","","","",""
"","13","should render confirmation page when offer is active and associated to all institutions","CollectiveOfferConfirmation","Thu Jan 16 17:01:44 UTC 2025","passed","Thu Jan 16 17:01:44 UTC 2025","","","",""
"","23","should display allociné spécific info","VenueProviderCard","Thu Jan 16 17:00:26 UTC 2025","passed","Thu Jan 16 17:00:26 UTC 2025","","Allociné provider","",""
"","0","should show that the offer is permanent if it has no dates","adageOfferDates","Thu Jan 16 17:01:43 UTC 2025","passed","Thu Jan 16 17:01:43 UTC 2025","","getFormattedDatesForTemplateOffer","",""
"","127","should display redirect modal if first offer","Summary","Thu Jan 16 16:58:13 UTC 2025","passed","Thu Jan 16 16:58:13 UTC 2025","","On Creation","",""
"","6","should not render cancel button if isCancellable is false","collectiveActionButton api call","Thu Jan 16 16:59:54 UTC 2025","passed","Thu Jan 16 16:59:54 UTC 2025","","","",""
"","2","should returns 31st of August of next year if current date is after September","getMaxEndDate","Thu Jan 16 17:03:32 UTC 2025","passed","Thu Jan 16 17:03:32 UTC 2025","","","",""
"","4","should not display the formats section if the offer has no formats","AdageOfferDetailsSection","Thu Jan 16 17:00:39 UTC 2025","passed","Thu Jan 16 17:00:39 UTC 2025","","","",""
"","74","should redirect to authentification if no offerer is selected","ValidationScreen","Thu Jan 16 16:59:20 UTC 2025","passed","Thu Jan 16 16:59:20 UTC 2025","","","",""
"","1","should return list containing only BookingRecap matching partial beneficiary lastname keywords","filterBookingsRecap","Thu Jan 16 16:59:25 UTC 2025","passed","Thu Jan 16 16:59:25 UTC 2025","","","",""
"","42","should display an import button disabled by default on creation","AllocineProviderForm","Thu Jan 16 16:59:22 UTC 2025","passed","Thu Jan 16 16:59:22 UTC 2025","","","",""
"","19","should display adage pause button if action is allowed","OfferEducationalActions","Thu Jan 16 16:59:22 UTC 2025","passed","Thu Jan 16 16:59:22 UTC 2025","","","",""
"","908","should display new stocks banner for several stocks","StocksEventCreation","Thu Jan 16 17:00:14 UTC 2025","passed","Thu Jan 16 17:00:15 UTC 2025","","","",""
"","45","should show an error if user touched input and did not enter any phone number","PhoneNumberInput","Thu Jan 16 17:01:30 UTC 2025","passed","Thu Jan 16 17:01:30 UTC 2025","","","",""
"","56","should initialize context with api","IndividualOfferContextProvider","Thu Jan 16 17:03:11 UTC 2025","passed","Thu Jan 16 17:03:11 UTC 2025","","","",""
"","43","should not display options when suggested subcategories are enabled and redirect to offer creation","screens:IndividualOffer::OfferType","Thu Jan 16 17:01:06 UTC 2025","passed","Thu Jan 16 17:01:06 UTC 2025","","","",""
"","7","should render urls without http prefix with <a> tag","Markdown","Thu Jan 16 17:02:00 UTC 2025","passed","Thu Jan 16 17:02:00 UTC 2025","","","",""
"","11","should have the correct options checked when values are string[]","AdageMultiselect","Thu Jan 16 17:01:35 UTC 2025","passed","Thu Jan 16 17:01:35 UTC 2025","","","",""
"","28","should not display the venues list when venues is <= 1","IndividualOfferDetails","Thu Jan 16 16:58:12 UTC 2025","passed","Thu Jan 16 16:58:12 UTC 2025","","","",""
"","1","should create a template from an offer with offer form url","computeInitialValuesFromOffer","Thu Jan 16 17:01:10 UTC 2025","passed","Thu Jan 16 17:01:10 UTC 2025","","","",""
"","101","should display notification on api error","Summary","Thu Jan 16 16:58:12 UTC 2025","passed","Thu Jan 16 16:58:13 UTC 2025","","On Creation","",""
"","256","should close dialog on cancel button click","UserReviewDialog","Thu Jan 16 17:00:52 UTC 2025","passed","Thu Jan 16 17:00:52 UTC 2025","","","",""
"","74","should show the checkbox group contact form if the FF is active","FormContactTemplate","Thu Jan 16 17:01:47 UTC 2025","passed","Thu Jan 16 17:01:47 UTC 2025","","","",""
"","32","should display the isDuo checkbox checked by default on creation","AllocineProviderForm","Thu Jan 16 16:59:22 UTC 2025","passed","Thu Jan 16 16:59:22 UTC 2025","","","",""
"","59","should fetch the offer with the id in the url when there is no offer in the router location","OfferInfos","Thu Jan 16 17:00:13 UTC 2025","passed","Thu Jan 16 17:00:13 UTC 2025","","","",""
"","7","displays 0 when remainingQuantity is 0 but not 'Illimitée'","StockEventSection","Thu Jan 16 17:01:55 UTC 2025","passed","Thu Jan 16 17:01:55 UTC 2025","","","",""
"","123","should update venue on submit","CinemaProviderEdit","Thu Jan 16 17:01:55 UTC 2025","passed","Thu Jan 16 17:01:55 UTC 2025","","","",""
"","39","should display the price detail","CollectiveOfferPriceSection","Thu Jan 16 17:03:28 UTC 2025","passed","Thu Jan 16 17:03:28 UTC 2025","","","",""
"","162","should be able to stay on stock form after click on ""Rester sur la page""","screens:StocksThing","Thu Jan 16 16:58:35 UTC 2025","passed","Thu Jan 16 16:58:35 UTC 2025","","","",""
"","83","should be able to submit when price field is filled to 0 on creation","AllocineProviderForm","Thu Jan 16 16:59:22 UTC 2025","passed","Thu Jan 16 16:59:22 UTC 2025","","","",""
"","160","should uncheck all options if none is clicked","useAccessibilityOptions","Thu Jan 16 17:02:06 UTC 2025","passed","Thu Jan 16 17:02:06 UTC 2025","","","",""
"","27","should not display footer is ""showFooter"" is false","Layout","Thu Jan 16 17:01:08 UTC 2025","passed","Thu Jan 16 17:01:08 UTC 2025","","showFooter","",""
"","21","should display ""Tarifs"" and ""Dates & Capacités"" steps","IndividualOfferNavigation","Thu Jan 16 16:59:37 UTC 2025","passed","Thu Jan 16 16:59:37 UTC 2025","","when offer is an event","",""
"","210","should be able to submit when price field is filled on creation","AllocineProviderForm","Thu Jan 16 16:59:22 UTC 2025","passed","Thu Jan 16 16:59:22 UTC 2025","","","",""
"","247","should load offers with selected period beginning date","route CollectiveOffers","Thu Jan 16 16:58:34 UTC 2025","passed","Thu Jan 16 16:58:34 UTC 2025","on click on search button","filters","",""
"","26","should not display survey satisfaction if only 1 offer","offers","Thu Jan 16 16:58:17 UTC 2025","passed","Thu Jan 16 16:58:17 UTC 2025","","","",""
"","93","should display error message if uai does not match","offer item","Thu Jan 16 17:00:39 UTC 2025","passed","Thu Jan 16 17:00:39 UTC 2025","","","",""
"","116","should render contact details and buttons correctly","CollectiveBookingDetails","Thu Jan 16 17:01:42 UTC 2025","passed","Thu Jan 16 17:01:42 UTC 2025","","","",""
"","1","should return other uai facet filter","adageFiltersToFacetFilters","Thu Jan 16 17:00:42 UTC 2025","passed","Thu Jan 16 17:00:42 UTC 2025","","","",""
"","76","should display the selector only for new navigation","route VenueEdition","Thu Jan 16 16:59:18 UTC 2025","passed","Thu Jan 16 16:59:18 UTC 2025","","","",""
"","1","should compute max width for original ""portrait"" target ""portrait""","getCropMaxDimension","Thu Jan 16 17:02:46 UTC 2025","passed","Thu Jan 16 17:02:46 UTC 2025","","","",""
"","654","should display blocker when form is dirty","screens:StocksEventEdition","Thu Jan 16 16:58:34 UTC 2025","passed","Thu Jan 16 16:58:35 UTC 2025","","","",""
"","133","should render dialog","AddBankInformations","Thu Jan 16 17:02:31 UTC 2025","passed","Thu Jan 16 17:02:31 UTC 2025","","","",""
"","114","should render the instution panel","AdageOfferPartnerPanel","Thu Jan 16 17:02:33 UTC 2025","passed","Thu Jan 16 17:02:33 UTC 2025","","","",""
"","181","should focus on back to nav link when user navigates to another page","useFocus","Thu Jan 16 17:01:59 UTC 2025","passed","Thu Jan 16 17:02:00 UTC 2025","","","",""
"","0","returns 31st August of current year if current date is before September","getMaxEndDate","Thu Jan 16 17:03:32 UTC 2025","passed","Thu Jan 16 17:03:32 UTC 2025","","","",""
"","16","should show create bookable offer if offer is template and ff is active","CollectiveEditionOfferNavigation","Thu Jan 16 16:59:04 UTC 2025","passed","Thu Jan 16 16:59:04 UTC 2025","","","",""
"","10","should replace conditional fields with a subcategory related error callout","DetailsSubForm","Thu Jan 16 17:00:24 UTC 2025","passed","Thu Jan 16 17:00:24 UTC 2025","when the offer is non-product based > when the offer is a CD","when EAN search is displayed","",""
"","1","should return 1 when 1st row beneficiary firstname comes after 2nd row beneficiary firstname","sortByBeneficiaryName","Thu Jan 16 17:00:19 UTC 2025","passed","Thu Jan 16 17:00:19 UTC 2025","","when both beneficiaries lastname are the same","",""
"","172","should automatically update end date input when the user edits the start date","FormStock","Thu Jan 16 16:59:39 UTC 2025","passed","Thu Jan 16 16:59:39 UTC 2025","","","",""
"","262","should load offers with selected period beginning date","route TemplateCollectiveOffers","Thu Jan 16 16:58:49 UTC 2025","passed","Thu Jan 16 16:58:49 UTC 2025","on click on search button","filters","",""
"","235","should render the component","screens:IndividualOffer::UsefulInformation","Thu Jan 16 16:59:02 UTC 2025","passed","Thu Jan 16 16:59:02 UTC 2025","","","",""
"","1","should validate bookingEmail correctly when receiveNotificationEmails is true","getValidationSchema","Thu Jan 16 17:00:43 UTC 2025","passed","Thu Jan 16 17:00:43 UTC 2025","","","",""
"","25","should not display onboarding banner for archivage when we are in individual offer list","IndividualOffersScreen","Thu Jan 16 16:58:23 UTC 2025","passed","Thu Jan 16 16:58:23 UTC 2025","","","",""
"","149","should have venue value be removed when user asks for all venues","route Offers","Thu Jan 16 16:58:17 UTC 2025","passed","Thu Jan 16 16:58:17 UTC 2025","","url query params","",""
"","51","should display an error message if income couldnt be fetched","Income","Thu Jan 16 16:58:43 UTC 2025","passed","Thu Jan 16 16:58:43 UTC 2025","","when the page first renders","",""
"","0","should return false for today, current hour and past minutes","isTimeInTheFuture","Thu Jan 16 17:01:53 UTC 2025","passed","Thu Jan 16 17:01:53 UTC 2025","","","",""
"","36","should display error when file's type is refused","ImageUploadBrowserForm","Thu Jan 16 17:00:45 UTC 2025","passed","Thu Jan 16 17:00:45 UTC 2025","","","",""
"","1","should not display the time","getRangeToFrenchText","Thu Jan 16 17:00:38 UTC 2025","passed","Thu Jan 16 17:00:38 UTC 2025","","","",""
"","11","should display the right wording with the OA FF","VenueFormScreen","Thu Jan 16 16:59:19 UTC 2025","passed","Thu Jan 16 16:59:19 UTC 2025","","OA feature flag","",""
